Sequence No.,V,D,air density,I,S_b,y (% relative to rated power)
1,11.52,160.4,1.189716915,0.032118056,0.688399654,88.56969697
2,11.42,160.2,1.190330073,0.036777583,0.74660437,88.16969697
3,11.57,160,1.189956534,0.035436474,0.748534437,88.70909091
4,12.04,160.7,1.189764739,0.03654485,0.744800922,93.55151515
5,12.33,159.9,1.189032686,0.03000811,0.709161216,97.04848485
6,12.25,160.7,1.189568818,0.031836735,0.712123887,96.82424242
7,12.11,160.1,1.190016685,0.034682081,0.719313487,95.35757576
8,12.29,160.6,1.190319883,0.030919447,0.7168679,95.60606061
9,12.15,159.6,1.190401593,0.037037037,0.719044286,95.66060606
10,12.44,160.2,1.190429185,0.036173633,0.704236476,96.96363636
11,12.6,159.8,1.190617218,0.038095238,0.665015316,98.18181818
12,12.88,158.7,1.190669366,0.034937888,0.600258074,99.98787879
13,13.21,150.7,1.190891203,0.035579107,0.557026434,101.4060606
14,13.48,150.1,1.190829885,0.03189911,0.580465673,101.4121212
15,13.48,159.9,1.190963934,0.027448071,0.599808873,101.4484848
16,13.48,162.8,1.191063229,0.028931751,0.574055193,101.3212121
17,13.62,163.2,1.190965079,0.028634361,0.588486745,101.3454545
18,13.41,163.5,1.191068369,0.029828486,0.556098529,101.3575758
19,12.66,162.5,1.191949926,0.036334913,0.582420514,101.3030303
20,12.25,161.8,1.192808215,0.035918367,0.626351452,100.1757576
21,11.82,159.4,1.193716962,0.043993232,0.645280961,96.75151515
22,11.49,162,1.194379194,0.040034813,0.640942095,90.96363636
23,12.01,159.3,1.193862588,0.036636137,0.640858322,92.81818182
24,12.23,152.3,1.193462149,0.042518397,0.634774272,97.25454545
25,11.99,150.4,1.193477861,0.047539616,0.684550962,97.73333333
26,12.46,148.2,1.192877452,0.039325843,0.640196845,100.9515152
27,12.19,151.6,1.193372145,0.047579984,0.537499332,100.2
28,11.14,157.4,1.195104238,0.047576302,0.478769153,91.64848485
29,11.12,159.3,1.195669885,0.036870504,0.433120781,84.73939394
30,11.23,155.5,1.195063851,0.040071238,0.440467519,87.56363636
31,11.62,156.1,1.194662478,0.055077453,0.557681071,90.21818182
32,12.39,158.6,1.193728409,0.052461663,0.507336781,97.53939394
33,12.93,156.8,1.19283418,0.050270688,0.505121705,100.9575758
34,12.91,155.8,1.192363843,0.05344694,0.429545292,101.0060606
35,12.53,154.8,1.191520531,0.064644852,0.428860631,100.0666667
36,12.61,154.9,1.19082168,0.065820777,0.40885677,100.2181818
37,12.81,155.2,1.189845241,0.06088993,0.387361557,101.4060606
38,13.55,158.1,1.188932178,0.061254613,0.37017158,101.4848485
39,13.05,161.3,1.187969649,0.072030651,0.361492604,101.4121212
40,13.09,160,1.186409941,0.069518717,0.344384713,101.4
41,13,160,1.185044969,0.073846154,0.307370006,101.3818182
42,12.91,160.4,1.184697478,0.070487994,0.335532564,100.8787879
43,13.01,162.3,1.182999128,0.083013067,0.322856154,100.7939394
44,13.57,166,1.180772077,0.06705969,0.379265011,101.4060606
45,14.28,167.1,1.178104047,0.088235294,0.317142097,101.4545455
46,15.56,168,1.175320607,0.093187661,0.223586014,101.5030303
47,14.42,168.8,1.173918575,0.079056865,0.22003951,101.4424242
48,15.01,171.6,1.171557931,0.09260493,0.219117355,101.4
49,15.47,173.2,1.168161031,0.095669037,0.153043931,101.4
50,17.2,174.7,1.166965039,0.073837209,0.195621552,101.5090909
51,17.09,175.7,1.165277876,0.095962551,0.192681581,101.4424242
52,17.09,176.5,1.164086312,0.082504389,0.158919359,101.3878788
53,18.07,177.9,1.162789083,0.101826231,0.233074078,101.3515152
54,17.08,172.5,1.162576413,0.110655738,0.194218296,101.4909091
55,15.46,171.3,1.161554119,0.079560155,0.239464345,101.3878788
56,16.2,171.6,1.159232025,0.089506173,0.202265133,101.3212121
57,16.94,172.8,1.157773166,0.089728453,0.207382974,101.5818182
58,16.67,174.3,1.157148311,0.092381524,0.224132518,101.3393939
59,16.72,173.1,1.155067608,0.111842105,0.178346874,101.4242424
60,17.92,174.3,1.15356899,0.085379464,0.190119369,101.4121212
61,18.51,175.3,1.151344352,0.091301999,0.18510539,101.2242424
62,18.91,176.5,1.149413616,0.092014807,0.182300597,101.4545455
63,19.41,177.3,1.148987597,0.08758372,0.217435089,101.4666667
64,20.03,174,1.147049771,0.058412381,0.177700858,101.3575758
65,19.19,176.4,1.145873444,0.09119333,0.203502798,101.2545455
66,18.99,177.9,1.143634627,0.110584518,0.216037889,101.5575758
67,18.58,175.9,1.141896407,0.090419806,0.186977694,101.2242424
68,19.67,173.7,1.141091301,0.104728012,0.194607253,101.3333333
69,20.63,173.1,1.141154098,0.068831798,0.209876202,101.3757576
70,20.68,178.4,1.13651805,0.109284333,0.224740566,101.1818182
71,18.72,181.8,1.134394781,0.13034188,0.203651885,101.1272727
72,21.22,181,1.133240073,0.088595664,0.266600915,101.1818182
73,19.76,181.9,1.132433377,0.133097166,0.250829981,101.0969697
74,21.35,178.1,1.131851019,0.094145199,0.23229664,100.9878788
75,20.09,178.3,1.130925637,0.100049776,0.231697042,101.2787879
76,19.9,180,1.130124833,0.114070352,0.238996364,101.2
77,20.14,181.2,1.129743564,0.111717974,0.263140218,100.9272727
78,20.61,179.5,1.129095635,0.119359534,0.213646623,101.0727273
79,20.28,180.8,1.128565962,0.101577909,0.267380901,101.1272727
80,19.46,182,1.128200439,0.116649538,0.27679894,101.2060606
81,20.76,184.4,1.127802143,0.099710983,0.282585982,101.0363636
82,21.36,180.2,1.127660765,0.0917603,0.217224165,100.0484848
83,19.25,185.1,1.127423158,0.13038961,0.285258949,101.3454545
84,20.5,186,1.127527422,0.145853659,0.270444368,100.7939394
85,19.65,184.8,1.127376258,0.114503817,0.29063701,101.230303
86,18.64,183.9,1.12748519,0.122854077,0.27357177,101.2969697
87,20.9,186.5,1.127611677,0.098564593,0.324409787,100.4909091
88,21.44,185.8,1.127301161,0.100279851,0.306096394,101.1636364
89,20.69,184.5,1.127876933,0.099565007,0.305671142,101.1212121
90,18.4,180.9,1.128720402,0.105978261,0.274638572,101.2909091
91,18.37,184.8,1.128843436,0.105062602,0.297122216,101.2848485
92,20.16,185.1,1.128997584,0.10515873,0.299123774,101.4363636
93,19.64,183.3,1.129689187,0.091649695,0.290795116,101.4
94,16.91,184.5,1.130376276,0.131283264,0.282574485,101.3090909
95,19.81,182.6,1.130809847,0.094396769,0.330661912,101.3939394
96,19,184.2,1.13140662,0.109473684,0.328225805,101.3212121
97,18.15,180.6,1.132377714,0.088705234,0.310810604,101.4424242
98,17.4,179.4,1.133645314,0.102298851,0.331156291,101.3939394
99,17.92,180.2,1.1347533,0.077008929,0.348196123,101.2606061
100,17.42,180.5,1.135223569,0.083237658,0.329266982,101.5212121
101,17.36,179.4,1.135759392,0.077764977,0.377005766,101.3393939
102,16.25,176.9,1.136675051,0.076923077,0.359786162,101.3757576
103,15.97,176.7,1.137485555,0.080150282,0.366644441,101.3939394
104,16.06,176.8,1.137937387,0.075965131,0.348174456,101.3393939
105,15.72,175.7,1.138591708,0.083333333,0.353026957,101.4181818
106,15.75,175.2,1.138951935,0.082539683,0.348995316,101.3878788
107,15.26,174.3,1.140110455,0.072739187,0.392205725,101.3939394
108,14.84,173,1.141068054,0.057277628,0.398999035,101.3636364
109,14.74,171.6,1.142341739,0.073270014,0.35904263,101.3939394
110,14.75,172.3,1.143177084,0.077966102,0.344664152,101.3575758
111,14.76,172.1,1.144032153,0.066395664,0.423110714,101.4121212
112,15,171.2,1.144868059,0.058666667,0.422819424,101.3515152
113,15.3,171.6,1.145482191,0.067973856,0.438327917,101.430303
114,15.22,171.5,1.146035542,0.057161629,0.393333378,101.4
115,14.66,171.4,1.146971209,0.064802183,0.40437214,101.3393939
116,13.94,169.8,1.147762846,0.06456241,0.419686192,100.8666667
117,13.38,168.5,1.148439525,0.067264574,0.40896597,101.2363636
118,13.32,168,1.14891527,0.072822823,0.429122166,101.1818182
119,13.58,168.9,1.149342447,0.08173785,0.443919122,100.9757576
120,13.9,169,1.149069005,0.082014388,0.401784406,101.1575758
121,13.96,171,1.149170433,0.081661891,0.38092353,101.3818182
122,13.98,171.7,1.149067753,0.068669528,0.403072306,101.4
123,13.11,171.3,1.149675685,0.067124333,0.363684514,101.1515152
124,13.01,171.1,1.149919515,0.076863951,0.425905768,100.8848485
125,13.13,172.3,1.150088147,0.075399848,0.409380959,100.8787879
126,12.7,173.3,1.150541638,0.079527559,0.433139896,100.9575758
127,12.89,174.4,1.150785941,0.077579519,0.434467749,100.4
128,12.79,176,1.150953427,0.06645817,0.433995943,99.65454545
129,12.67,176.5,1.151245777,0.079715864,0.408838386,97.78181818
130,12.37,175.4,1.151347789,0.060630558,0.38958889,96.73333333
131,11.71,174.5,1.15194143,0.064901793,0.364006646,90.53939394
132,10.96,174.6,1.152416784,0.070255474,0.474976336,81.63030303
133,10.28,174.6,1.153357495,0.071984436,0.453913573,72.76363636
134,10.33,175.4,1.153505086,0.083252662,0.48599796,73.13333333
135,10.72,176,1.153520805,0.072761194,0.451037324,76.33939394
136,11.45,176.1,1.152821491,0.070742358,0.47393537,85.72727273
137,11.58,178,1.152810378,0.077720207,0.47512806,83.16363636
138,11.33,177.9,1.152814951,0.090909091,0.429025751,81.38181818
139,11.35,178.6,1.152950455,0.08722467,0.402239968,81.44242424
140,11.25,179.8,1.152948457,0.078222222,0.471108936,81.81212121
141,11.41,178.3,1.153047155,0.070990359,0.437531384,85.70909091
142,10.97,178,1.153246282,0.07657247,0.417567632,78.72121212
143,10.5,177.3,1.153690992,0.087619048,0.456338332,72.04848485
144,10.31,175.7,1.15406407,0.088263822,0.530394519,70.25454545
145,10.25,174.6,1.154429879,0.071219512,0.498363635,65.84848485
146,9.68,172.9,1.155122312,0.084710744,0.514086715,59.24242424
147,9.7,172.2,1.155851477,0.072164948,0.568391493,61.57575758
