Sequence No.,V,D,air density,humidity,I,S_a,S_b,y (% relative to rated power)
1,6.873766,174.0575,1.219331311,50.082808,0.021919236,0.110258473,0.135261394,11.65333333
2,7.096613,176.4439,1.219143624,48.541693,0.037737044,0.061553522,0.156136274,30.55
3,8.101572,176.3133,1.218396873,46.252931,0.04906333,0.152517032,0.223355279,43.85
4,8.762237,181.0317,1.219513654,47.099364,0.094165771,0.254332225,0.256441169,51.66
5,9.901171,183.5434,1.216876706,44.129409,0.027735174,0.073537558,0.311642127,46.40666667
6,9.641467,181.946,1.215782406,42.884456,0.03589962,0.055286747,0.152275385,37.14
7,9.107639,185.0804,1.21607139,43.49999,0.029256825,0.048935642,0.096188031,30.00666667
8,8.508179,188.803,1.217458632,42.688469,0.04684262,0.028557623,0.086881083,19.12333333
9,7.309227,189.7594,1.218911552,43.417668,0.057947591,0.190897317,0.077582319,17.58333333
10,7.118426,204.9866,1.22029124,47.773218,0.043150438,0.270322764,0.145519166,14.99
11,6.696615,221.291,1.22107829,51.098846,0.042949684,0.170180536,0.259337879,8.85
12,5.796519,216.7687,1.219092623,46.871638,0.052509739,0.270639452,0.192032505,6.25
13,5.015448,216.563,1.219348613,46.604437,0.057257437,0.479920143,0.252590502,8.963333333
14,5.556975,218.5035,1.219608137,45.656639,0.04454625,0.344388484,0.28993553,9.416666667
15,5.538659,223.5702,1.22053225,47.316974,0.062153348,0.568301649,0.30721842,11.92
16,6.204761,227.9562,1.220168598,45.833583,0.034251295,0.441719687,0.428113408,12.99
17,6.736039,231.9973,1.221791322,46.969037,0.047086292,0.421459106,0.39992648,14.93333333
18,6.984724,231.1084,1.220578306,45.588201,0.028610894,0.305849391,0.429101921,42.93666667
19,12.11124,245.2211,1.234486608,71.012341,0.047878987,0.15669831,0.18142832,87.86333333
20,10.48605,244.0362,1.239014815,75.312745,0.030359172,0.35546619,0.240377902,64.68333333
21,9.375619,238.0139,1.243466118,80.654975,0.039285406,0.305703263,0.208093553,49.61333333
22,9.278471,237.5242,1.241573418,70.825281,0.024165135,0.382887718,0.246495916,35.39
23,8.876644,237.8398,1.241075167,69.235169,0.041927816,0.411462985,0.285740104,26.91666667
24,8.236012,244.3578,1.238265211,52.651465,0.037216762,0.358406676,0.360238277,19.33666667
25,7.061006,239.5294,1.239310879,57.318652,0.040915048,0.569496944,0.399208409,15.19
26,6.468924,239.0691,1.240055203,57.728478,0.04030086,0.605075754,0.451473471,12.76
27,5.203362,233.0765,1.24171342,61.182846,0.078301279,0.772732526,0.542755479,3.603333333
28,4.586836,221.006,1.242527253,64.102614,0.037475528,0.85003022,0.300687636,3.343333333
29,4.28596,219.5588,1.242096472,62.515874,0.056199661,0.826412933,0.134674172,2.7
30,4.203503,216.4283,1.24215104,62.353013,0.055188779,0.79335665,0.152772663,3.016666667
31,4.630832,223.28,1.241050761,58.74392,0.03673029,0.659354991,0.269434339,1.453333333
32,4.424104,69.78619,1.235743681,74.42525,0.062163616,0.247426248,0.00174218,1.716666667
33,4.425403,227.5507,1.234630564,99.605596,0.071436409,0.549742805,0.219767971,2.486666667
34,4.57115,225.1148,1.234608702,99.367951,0.111475165,0.601715504,0.205606053,4.456666667
35,4.723601,218.7012,1.234259159,98.541158,0.09305623,0.499737086,0.154869026,1.836666667
36,5.974905,221.3731,1.229972934,78.692528,0.055928454,0.173819745,0.284462028,10.64666667
37,5.871196,214.5222,1.229926874,80.20964,0.081775298,0.471482554,0.215587604,19.44666667
38,7.282249,211.5349,1.230471235,83.590413,0.065691629,0.383038962,0.195341773,33.45333333
39,8.700102,210.0105,1.230299298,82.945719,0.04846996,0.346955891,0.201835473,40.64
40,9.120406,206.1116,1.229970888,82.523395,0.039945886,0.285955232,0.182665091,42.46666667
41,9.163471,200.6159,1.230254033,87.262986,0.036306668,0.412071148,0.166379962,43.23
42,9.630207,199.9286,1.230035119,87.779533,0.050721682,0.403070356,0.190034956,56.41666667
43,10.33891,200.1902,1.229253316,84.989101,0.026547257,0.340503555,0.204123797,60
44,10.71628,200.7097,1.229199349,84.564594,0.033060036,0.301008571,0.19256839,59.50333333
45,10.11728,196.6917,1.229160577,84.48108,0.034009398,0.27516338,0.183847282,47.56
46,9.431788,193.4737,1.229403728,84.644339,0.027547629,0.27464315,0.204604217,39.44666667
47,8.556777,191.0351,1.229942901,86.044017,0.041477732,0.251936619,0.196235667,26.87333333
48,7.627089,187.2035,1.230090056,86.833917,0.03308409,0.250700978,0.200319344,26.27333333
49,8.142039,187.0788,1.229821268,88.110609,0.029062634,0.203605209,0.1767488,27.89333333
50,7.957702,184.9484,1.230374743,89.295654,0.039830645,0.23763824,0.203716558,32.60666667
51,8.583787,183.8273,1.229735477,89.264312,0.064030189,0.270955643,0.152769305,40.94666667
52,9.735295,179.8345,1.230003712,88.104063,0.100913223,0.295117747,0.179908615,66.15333333
53,11.43375,178.6175,1.22892644,86.978127,0.044750646,0.23221709,0.183355216,72.16333333
54,10.76649,172.2374,1.230920201,89.003061,0.087530653,0.056064103,0.078155475,47.84333333
55,7.978072,176.1887,1.228167959,73.344347,0.051078343,0.167523703,0.121698941,38.37333333
56,9.229295,186.4477,1.227624088,82.424607,0.074835998,0.275728617,0.219766181,45.40333333
57,9.439519,199.5285,1.228438568,85.416384,0.065630187,0.196729284,0.110784607,40.08333333
58,8.919805,202.5444,1.228597237,84.954189,0.049151691,0.22975383,0.151649959,37.08
59,8.79446,201.184,1.22865398,85.190641,0.043984963,0.278375561,0.156535258,42.91666667
60,9.358939,199.8794,1.228564065,84.778235,0.041730574,0.328765461,0.169418647,48.06
61,9.569211,197.1752,1.227743024,82.319275,0.036612245,0.299323613,0.205878943,49.43
62,9.730291,194.7595,1.227847176,82.045132,0.061762747,0.243125493,0.187857022,58.64666667
63,14.2012,203.8111,1.233441533,84.505482,0.078616596,0.113001124,0.086770857,93.66
64,12.89996,200.9224,1.231632205,80.834497,0.062230379,0.254669319,0.116726667,91.48
65,13.41597,202.85,1.230333845,80.626013,0.08675884,0.17599964,0.090576991,99.14
66,14.00679,201.4156,1.229622725,78.401523,0.049416369,0.181292656,0.115126226,99.60666667
67,14.57949,203.8514,1.229467286,78.714148,0.067235459,0.150239692,0.084215,98.84666667
68,13.74885,205.7654,1.229451959,78.581042,0.062772566,0.105375235,0.082738876,99.52666667
69,14.24545,205.563,1.229598127,78.177962,0.05463819,0.095324616,0.107388071,95.83333333
70,12.87966,208.0012,1.229412892,79.250734,0.075554751,0.127414144,0.121344857,87.04666667
71,11.97292,206.9648,1.230042454,80.443913,0.054107269,0.143239377,0.099697983,77.41666667
72,11.80504,198.9755,1.22977169,80.85116,0.047579568,0.156592919,0.108792081,79.73333333
73,11.85402,195.2979,1.230106033,80.271728,0.048395017,0.161820202,0.114292521,72.03666667
74,11.18949,197.4942,1.23014842,81.851327,0.047116839,0.195105289,0.109072995,63.68
75,10.38488,200.1369,1.230152595,82.702719,0.043970388,0.213439163,0.139632381,57.55666667
76,10.17964,205.2214,1.230062847,83.097273,0.049084192,0.208045569,0.173890512,56.28333333
77,10.1086,204.1007,1.22933202,81.958048,0.050477732,0.288021295,0.158441458,59.61333333
78,10.59407,200.8343,1.228466821,80.124739,0.042495453,0.347948977,0.197935598,60.78666667
79,10.23433,197.7035,1.227362868,78.283297,0.036573591,0.331373437,0.178075241,49.94666667
